sample	segments	clonality	ploidy	homozygousLoss	segvariance	grid_ploidy	grid_purity	use
IM_257	250	0.0992247029892691	2.985	0.0327685145227355	0.287681726664815	3	0.78	TRUE
IM_258	266	0.109386791673326	2.979	0.0327642201599928	0.366579526112953	3	0.87	FALSE
IM_258	266	0.174087088912934	4.369	0.0327642201599928	0.779233827801891	4.4	0.83	TRUE
IM_258	266	0.175106136537529	1.588	0.107029997003877	0.12145754483276	1.6	0.87	FALSE
IM_259	277	0.100644102565285	2.981	0.0338637614309712	0.310886065969696	3	0.88	TRUE
IM_259	277	0.172547670518829	6.06	0.0338637614309712	1.38868836507614	6.1	0.71	FALSE
IM_260	212	0.114235574868994	2.069	0	0.199976259350368	2.1	0.75	TRUE
IM_260	212	0.132182295231743	3.065	0	0.251066144160449	3.1	1	FALSE
IM_260	212	0.208362105752133	3.955	0	0.418008148446118	4	1	FALSE
IM_262	198	0.152031964173451	1.98	0.00540390923893507	0.129755033833569	2	1	FALSE
IM_262	198	0.204858246742772	2.971	0.00540390923893507	0.29194882612553	3	1	FALSE
IM_269	154	0.101403205174712	1.891	0.174208172588334	0.0838384865671507	1.9	0.69	TRUE
IM_269	154	0.147470662452625	3.683	0.0378712320948191	0.304837152370987	3.7	0.55	FALSE
IM_270	420	0.209348481956452	5.034	0.4889843024017	0.659561378767411	5	0.65	FALSE
IM_270	420	0.209368109834623	6.034	0	0.660953592372248	6	0.96	FALSE
IM_270	420	0.210939034271161	4.528	0.377309414834314	0.452176327888862	4.5	0.79	FALSE
IM_277	258	0.146739418265798	1.978	0.0338165136646851	0.237679937228686	2	0.5	TRUE
IM_28	405	0.175580407268096	3.896	0.0606604506094878	0.59183916206754	3.9	0.7	FALSE
IM_28	405	0.184618929971395	2.896	0.0606604506094878	0.522882259454001	2.9	0.56	FALSE
IM_28	405	0.202450293173504	1.998	0.0606604506094878	0.159441461156074	2	0.81	FALSE
IM_282	321	0.0778972112257092	1.867	0.156533217551589	0.303718138216017	1.9	0.84	TRUE
IM_283	348	0.200273588865356	2.789	0.00771652397841948	0.199753976105956	2.8	0.67	FALSE
IM_284	274	0.210304035117253	2.582	0	0.223970226126226	2.6	0.99	FALSE
IM_285	323	0.199342066596038	2.496	0.00773605293648859	0.152153914475007	2.5	0.76	FALSE
IM_286	470	0.18171132245897	2.495	0.00664286409444215	0.140369982042424	2.5	0.66	FALSE
IM_288	266	0.206773132480664	3.078	0.161996782924407	0.468604652017379	3.1	0.53	FALSE
IM_289	340	0.213999267031474	1.568	7.98755563085155	0.200525193145499	1.6	0.61	FALSE
IM_29	268	0.193960067488629	5.665	0.0108025648680593	2.28155547713962	5.7	0.65	FALSE
IM_29	268	0.206337906596568	4.768	0.0615749222217706	1.90337094517086	4.8	0.59	FALSE
IM_290	83	0.041665713859828	1.983	0.00539492961288575	0.135789304933862	2	1	FALSE
IM_290	83	0.0601841255950304	2.975	0.00539492961288575	0.305525936101189	3	1	FALSE
IM_293	228	0.161026547084026	2.081	0	0.125446555825426	2.1	1	FALSE
IM_293	228	0.204940990977886	3.171	0	0.291286333708019	3.2	1	FALSE
IM_293	228	0.227303656966887	6.738	0	1.31533985065027	6.7	1	FALSE
IM_295	277	0.0946926510009251	1.694	0.450206866725435	0.0972840342975268	1.7	0.56	TRUE
IM_295	277	0.140113944078863	3.487	0.106883503773943	0.4157820545624	3.5	0.38	FALSE
IM_298	100	0.166278217000233	3.37	0.0195363021163028	0.364536349493333	3.4	0.52	TRUE
IM_299	360	0.129420280654537	2.985	0	0.298575038797409	3	0.71	FALSE
IM_299	360	0.131887517366044	1.986	2.90434540385648	0.281127988236227	2	0.54	TRUE
IM_299	360	0.139901037074278	3.985	0	0.327907685478735	4	1	FALSE
IM_3	218	0.0585122741810815	1.99	0	0.0970160288343908	2	0.75	TRUE
IM_3	218	0.079590003851517	2.989	0	0.122785911493526	3	1	FALSE
IM_3	218	0.104325336133731	4.98	0	0.390922773194113	5	0.85	FALSE
IM_3	218	0.104362538072708	3.98	0	0.388064115337563	4	0.6	FALSE
IM_30	554	0.149114289658054	3.894	0.0605168919938756	0.452472216912065	3.9	0.76	FALSE
IM_300	122	0.11212973581919	3.777	0.00546534064483123	0.180523049691486	3.8	1	FALSE
IM_300	122	0.112274639407763	2.777	0.00546534064483123	0.183413685075311	2.8	0.66	TRUE
IM_300	122	0.113050672732173	1.778	7.0273815952854	0.173148021137408	1.8	0.51	FALSE
IM_300	122	0.167290863252509	4.771	0.00546534064483123	0.28803677734708	4.8	1	FALSE
IM_302	65	0.108666422945667	1.994	0	0.0504655981536135	2	1	FALSE
IM_302	65	0.129784578774541	7.675	0	0.812621748399463	7.7	0.86	FALSE
IM_302	65	0.13944403835917	6.677	0	0.705473237843148	6.7	0.72	FALSE
IM_302	65	0.154433141299355	5.679	0	0.596253171937448	5.7	0.63	FALSE
IM_302	65	0.155651445082361	2.991	0	0.11354759584563	3	1	FALSE
IM_303	68	0.0370639653846605	1.994	0	0.0360755932349346	2	1	FALSE
IM_303	68	0.0552327709239408	2.992	0	0.0811700847786029	3	1	FALSE
IM_303	68	0.072849308734377	3.989	0	0.144302372939738	4	1	FALSE
